symptoms,disease
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain",Jaundice
"fatigue,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Hyperthyroidism
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Dimorphic Hemmorhoids(Piles)
"chills,vomiting,fatigue,weight_loss,cough,high_fever,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",Tuberculosis
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Alcoholic Hepatitis
"vomiting,breathlessness,sweating,chest_pain",Heart Attack
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain",Gerd
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",Dengue
"vomiting,headache,altered_sensorium",Paralysis (Brain Hemorrhage)
"burning_micturition,bladder_discomfort,continuous_feel_of_urine",Urinary Tract Infection
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Impetigo
"itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Chronic Cholestasis
I have abdominal pain or discomfort that is worse when I eat or drink. I have a loss of appetite and feel fatigued after going to the bathroom. I feel very tired all the time,Peptic Ulcer Disease
"I have a burning feeling in my stomach. It's worse when I eat or drink. I also get heartburn, indigestion, and nausea.",Peptic Ulcer Disease
"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",Malaria
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",Impetigo
"vomiting,sunken_eyes,dehydration,diarrhoea",Gastroenteritis
